tipo,categoria,descripcion,largo_m,prof_m,precio_cop
TORRE,SEMIPESADA,Torre semipesada 2.00m x 0.60m,2.00,0.60,220000
TORRE,SEMIPESADA,Torre semipesada 2.00m x 0.80m,2.00,0.80,220000
TORRE,SEMIPESADA,Torre semipesada 2.00m x 1.00m,2.00,1.00,220000
TORRE,SEMIPESADA,Torre semipesada 2.00m x 1.20m,2.00,1.20,240000
TORRE,SEMIPESADA,Torre semipesada 2.40m x 0.60m,2.40,0.60,264000
TORRE,SEMIPESADA,Torre semipesada 2.40m x 0.80m,2.40,0.80,264000
TORRE,SEMIPESADA,Torre semipesada 2.40m x 1.00m,2.40,1.00,264000
TORRE,SEMIPESADA,Torre semipesada 2.40m x 1.20m,2.40,1.20,288000
TORRE,PESADA,Torre pesada 2.00m x 0.60m,2.00,0.60,220000
TORRE,PESADA,Torre pesada 2.00m x 0.80m,2.00,0.80,220000
TORRE,PESADA,Torre pesada 2.00m x 1.00m,2.00,1.00,220000
TORRE,PESADA,Torre pesada 2.00m x 1.20m,2.00,1.20,240000
TORRE,PESADA,Torre pesada 2.40m x 0.60m,2.40,0.60,264000
TORRE,PESADA,Torre pesada 2.40m x 0.80m,2.40,0.80,264000
TORRE,PESADA,Torre pesada 2.40m x 1.00m,2.40,1.00,264000
TORRE,PESADA,Torre pesada 2.40m x 1.20m,2.40,1.20,288000
TORRE,PESADA,Torre pesada 3.00m x 0.60m,3.00,0.60,330000
TORRE,PESADA,Torre pesada 3.00m x 0.80m,3.00,0.80,330000
TORRE,PESADA,Torre pesada 3.00m x 1.00m,3.00,1.00,330000
TORRE,PESADA,Torre pesada 3.00m x 1.20m,3.00,1.20,360000
VIGA,SEMIPESADA,Viga semipesada 2.00m,2.00,,80000
VIGA,SEMIPESADA,Viga semipesada 2.40m,2.40,,95000
VIGA,SEMIPESADA,Viga semipesada 2.80m,2.80,,130000
VIGA,PESADA,Viga pesada 2.00m,2.00,,100000
VIGA,PESADA,Viga pesada 2.40m,2.40,,110000
VIGA,PESADA,Viga pesada 2.80m,2.80,,150000
VIGA,PESADA,Viga pesada 3.00m,3.00,,180000
VIGA,PESADA,Viga pesada 3.20m,3.20,,200000
ENTREPANO,ECONOMICA,Madera Economica 2.00m x 0.60m,2.00,0.60,90000
ENTREPANO,ECONOMICA,Madera Economica 2.00m x 0.80m,2.00,0.80,95000
ENTREPANO,ECONOMICA,Madera Economica 2.00m x 1.00m,2.00,1.00,100000
ENTREPANO,ECONOMICA,Madera Economica 2.00m x 1.20m,2.00,1.20,120000
ENTREPANO,ECONOMICA,Madera Economica 2.40m x 0.60m,2.40,0.60,110000
ENTREPANO,ECONOMICA,Madera Economica 2.40m x 0.80m,2.40,0.80,120000
ENTREPANO,ECONOMICA,Madera Economica 2.40m x 1.00m,2.40,1.00,130000
ENTREPANO,ECONOMICA,Madera Economica 2.40m x 1.20m,2.40,1.20,150000
ENTREPANO,ECONOMICA,Madera Economica 2.80m x 0.60m,2.80,0.60,130000
ENTREPANO,ECONOMICA,Madera Economica 2.80m x 1.00m,2.80,1.00,150000
ENTREPANO,ECONOMICA,Madera Economica 2.80m x 1.20m,2.80,1.20,160000
ENTREPANO,ECONOMICA,Madera Economica 3.00m x 0.60m,3.00,0.60,130000
ENTREPANO,ECONOMICA,Madera Economica 3.00m x 0.80m,3.00,0.80,140000
ENTREPANO,ECONOMICA,Madera Economica 3.00m x 1.00m,3.00,1.00,160000
ENTREPANO,ECONOMICA,Madera Economica 3.00m x 1.20m,3.00,1.20,180000
ENTREPANO,ECONOMICA,Madera Economica 3.20m x 0.60m,3.20,0.60,140000
ENTREPANO,ECONOMICA,Madera Economica 3.20m x 0.80m,3.20,0.80,150000
ENTREPANO,ECONOMICA,Madera Economica 3.20m x 1.00m,3.20,1.00,170000
ENTREPANO,ECONOMICA,Madera Economica 3.20m x 1.20m,3.20,1.20,200000
ENTREPANO,PREMIUM,Madera Premium 2.00m x 0.60m,2.00,0.60,110000
ENTREPANO,PREMIUM,Madera Premium 2.00m x 0.80m,2.00,0.80,130000
ENTREPANO,PREMIUM,Madera Premium 2.00m x 1.00m,2.00,1.00,140000
ENTREPANO,PREMIUM,Madera Premium 2.00m x 1.20m,2.00,1.20,180000
ENTREPANO,PREMIUM,Madera Premium 2.40m x 0.60m,2.40,0.60,130000
ENTREPANO,PREMIUM,Madera Premium 2.40m x 0.80m,2.40,0.80,160000
ENTREPANO,PREMIUM,Madera Premium 2.40m x 1.00m,2.40,1.00,180000
ENTREPANO,PREMIUM,Madera Premium 2.40m x 1.20m,2.40,1.20,220000
ENTREPANO,PREMIUM,Madera Premium 2.80m x 0.60m,2.80,0.60,160000
ENTREPANO,PREMIUM,Madera Premium 2.80m x 0.80m,2.80,0.80,180000
ENTREPANO,PREMIUM,Madera Premium 2.80m x 1.00m,2.80,1.00,210000
ENTREPANO,PREMIUM,Madera Premium 2.80m x 1.20m,2.80,1.20,240000
ENTREPANO,PREMIUM,Madera Premium 3.00m x 0.60m,3.00,0.60,160000
ENTREPANO,PREMIUM,Madera Premium 3.00m x 0.80m,3.00,0.80,190000
ENTREPANO,PREMIUM,Madera Premium 3.00m x 1.00m,3.00,1.00,220000
ENTREPANO,PREMIUM,Madera Premium 3.00m x 1.20m,3.00,1.20,270000
ENTREPANO,PREMIUM,Madera Premium 3.20m x 0.60m,3.20,0.60,170000
ENTREPANO,PREMIUM,Madera Premium 3.20m x 0.80m,3.20,0.80,200000
ENTREPANO,PREMIUM,Madera Premium 3.20m x 1.00m,3.20,1.00,240000
ENTREPANO,PREMIUM,Madera Premium 3.20m x 1.20m,3.20,1.20,300000
ENTREPANO,GALVANIZADO,Galvanizado 2.00m x 0.60m,2.00,0.60,120000
ENTREPANO,GALVANIZADO,Galvanizado 2.00m x 0.80m,2.00,0.80,140000
ENTREPANO,GALVANIZADO,Galvanizado 2.00m x 1.00m,2.00,1.00,150000
ENTREPANO,GALVANIZADO,Galvanizado 2.00m x 1.20m,2.00,1.20,190000
ENTREPANO,GALVANIZADO,Galvanizado 2.40m x 0.60m,2.40,0.60,140000
ENTREPANO,GALVANIZADO,Galvanizado 2.40m x 0.80m,2.40,0.80,160000
ENTREPANO,GALVANIZADO,Galvanizado 2.40m x 1.00m,2.40,1.00,200000
ENTREPANO,GALVANIZADO,Galvanizado 2.40m x 1.20m,2.40,1.20,240000
ENTREPANO,GALVANIZADO,Galvanizado 2.80m x 0.80m,2.80,0.80,220000
ENTREPANO,GALVANIZADO,Galvanizado 2.80m x 1.00m,2.80,1.00,240000
ENTREPANO,GALVANIZADO,Galvanizado 2.80m x 1.20m,2.80,1.20,260000
ENTREPANO,GALVANIZADO,Galvanizado 3.00m x 0.60m,3.00,0.60,220000
ENTREPANO,GALVANIZADO,Galvanizado 3.00m x 0.80m,3.00,0.80,240000
ENTREPANO,GALVANIZADO,Galvanizado 3.00m x 1.00m,3.00,1.00,260000
ENTREPANO,GALVANIZADO,Galvanizado 3.00m x 1.20m,3.00,1.20,280000
ENTREPANO,GALVANIZADO,Galvanizado 3.20m x 0.60m,3.20,0.60,240000
ENTREPANO,GALVANIZADO,Galvanizado 3.20m x 0.80m,3.20,0.80,260000
ENTREPANO,GALVANIZADO,Galvanizado 3.20m x 1.00m,3.20,1.00,280000
ENTREPANO,GALVANIZADO,Galvanizado 3.20m x 1.20m,3.20,1.20,300000
OTRO,PROTECTOR,Protector de columna,,,60000
OTRO,INSTALACION,Mano de obra e instalacion,,,0
OTRO,TRANSPORTE,Transporte,,,0
